#This mapping was created following and expanding upon the SSSOM guidance: https://mapping-commons.github.io/sssom/spec/
#dcterms:license: CC-0
#version: 2.0.0
#creator_id:
#  - https://orcid.org/0000-0002-3237-4547
#  - https://orcid.org/0000-0002-4366-3088
#  - https://orcid.org/0000-0002-8083-6048
#  - https://orcid.org/0000-0001-9625-1899
#  - https://orcid.org/0000-0001-7087-2646
#  - https://orcid.org/0000-0002-2996-719X
#  - https://orcid.org/0000-0002-6601-2165
#  - https://orcid.org/0000-0002-4236-0384
#  - https://orcid.org/0000-0001-6215-3617
#  - https://orcid.org/0000-0003-1691-239X
#  - https://orcid.org/0000-0001-9401-8460
#  - https://orcid.org/0000-0003-3770-3714
#  - https://orcid.org/0000-0001-8815-0078
#  - https://orcid.org/0000-0003-1144-0290
#creator_name:
#  - Ward Appeltans
#  - Pier Luigi Buttigieg
#  - Mariya Dimitrova
#  - Willam D. Duncan
#  - Yi-Ming Gan
#  - Raïssa Meyer
#  - Christopher Mungall
#  - Pieter Provoost
#  - Tim Robertson
#  - Thomas Stjernegaard Jeppesen
#  - Saara Suominen
#  - Maxime Sweetlove
#  - Ramona L. Walls
#  - John Wieczorek
#curie_map:
#  - dwc: http://rs.tdwg.org/dwc/terms/
#  - dwcversion: http://rs.tdwg.org/dwc/terms/version/
#  - dcterms: http://purl.org/dc/terms/
#  - dcversion: http://dublincore.org/usage/terms/history/
#  - MIXS: https://w3id.org/mixs/
#  - MIXSversion: https://github.com/GenomicsStandardsConsortium/mixs-legacy/blob/master/mixs5/
#  - orcid: https://orcid.org/
#  - skos: http://www.w3.org/2004/02/skos/core
subject_id	subject_label	subject_category	syntax_predicate_id	object_id	object_label	object_category	match_type	creator_id	subject_source	subject_source_version	object_source	object_source_version	mapping_date	confidence	syntax_comment
dwc:minimumDistanceAboveSurfaceInMeters	Minimum Distance Above Surface in Meters	https://dwc.tdwg.org/list/#dcterms_Location	skos:broadMatch		alt	MIxS core	HumanCurated	orcid:0000-0003-1144-0290 | orcid:0000-0002-2996-719X	dwc:minimumDistanceAboveSurfaceInMeters	dwcversion:minimumDistanceAboveSurfaceInMeters-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-12-20	1	DwC expects only the value {float}, whereas the MIxS syntax expects the value and the unit to be added {float} {unit}. Thus, the numeric/float values in the DwC fields are subsumed in / contained in the more complex alphanumeric string values (which includes the units) in the MIxS fields. However, this mapping is only based on the definition and term label (DwC example is not consistent).
dwc:maximumDistanceAboveSurfaceInMeters	Maximum Distance Above Surface in Meters	https://dwc.tdwg.org/list/#dcterms_Location	skos:broadMatch		alt	MIxS core	HumanCurated	orcid:0000-0003-1144-0290 | orcid:0000-0002-2996-719X	dwc:maximumDistanceAboveSurfaceInMeters	dwcversion:maximumDistanceAboveSurfaceInMeters-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-12-20	1	DwC expects only the value {float}, whereas the MIxS syntax expects the value and the unit to be added {float} {unit}. Thus, the numeric/float values in the DwC fields are subsumed in / contained in the more complex alphanumeric string values (which includes the units) in the MIxS fields. However, this mapping is only based on the definition and term label (DwC example is not consistent).
dwc:verbatimElevation	Verbatim Elevation	https://dwc.tdwg.org/list/#dcterms_Location	skos:relatedMatch	MIXS:0000093	elev	MIxS core	HumanCurated	orcid:0000-0003-1144-0290	dwc:verbatimElevation	dwcversion:verbatimElevation-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-04-16	1	The DwC term expects verbatim input (so anything really), whereas MIxS expects {float} {unit} in meter. Any verbatim terms in DwC are matched with relatedMatch to more prescribed terms in MIxS, as they can have free text (or any other string-based value) as syntax. 
dwc:minimumElevationInMeters	Minimum Elevation in Meters	https://dwc.tdwg.org/list/#dcterms_Location	skos:broadMatch	MIXS:0000093	elev	MIxS core	HumanCurated	orcid:0000-0002-2996-719X	dwc:minimumElevationInMeters	dwcversion:minimumElevationInMeters-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-12-20	1	DwC expects only the value {float}, whereas the MIxS syntax expects the value and the unit to be added {float} {unit}. Thus, the numeric/float values in the DwC fields are subsumed in / contained in the more complex alphanumeric string values (which includes the units) in the MIxS fields.
dwc:maximumElevationInMeters	Maximum Elevation in Meters	https://dwc.tdwg.org/list/#dcterms_Location	skos:broadMatch	MIXS:0000093	elev	MIxS core	HumanCurated	orcid:0000-0002-2996-719X	dwc:maximumElevationInMeters	dwcversion:maximumElevationInMeters-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-12-20	1	DwC expects only the value {float}, whereas the MIxS syntax expects the value and the unit to be added {float} {unit}. Thus, the numeric/float values in the DwC fields are subsumed in / contained in the more complex alphanumeric string values (which includes the units) in the MIxS fields.
dwc:country	Country	https://dwc.tdwg.org/list/#dcterms_Location	skos:closeMatch	MIXS:0000010	geo_loc_name	MIxS core	HumanCurated	orcid:0000-0002-2996-719X | orcid:0000-0002-4366-3088	dwc:country	dwcversion:country-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2022-04-12	1	The DwC example only expects one country name, while MIxS expects two identifications of location (country or sea name + specific region name). Additionally MIxS expects terms from an ontology where appropriate, for which the input would be a termLabel[termID] combination. Despite these differences, one could interchangeably use these fields to hunt for the syntactic signature of country names (i.e. words delimited by a special character or whitespace) with a tagging or NLP routine, thus suggesting this to be a closeMatch. This closeness is only on country names (thus limited to the DwC -> MIxS direction of the mapping).
dwc:waterBody	Water Body	https://dwc.tdwg.org/list/#dcterms_Location	skos:relatedMatch	MIXS:0000010	geo_loc_name	MIxS core	HumanCurated	orcid:0000-0002-2996-719X | orcid:0000-0002-4366-3088	dwc:waterBody	dwcversion:waterBody-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-05-12	1	The DwC example only expects one sea identifier, while MIxS expects an additional region identifier (country or sea name + specific region name). Additionally, MIxS expects terms from an ontology where appropriate, for which the input would be a termLabel[termID] combination. Despite these differences, one could interchangeably use these fields to hunt for the syntactic signature of sea names (i.e. words delimited by a special character or whitespace) with a tagging or NLP routine, thus suggesting this to be a closeMatch. This closeness is only on sea names (thus limited to the DwC -> MIxS direction of the mapping).
dwc:higherGeography	Higher Geography	https://dwc.tdwg.org/list/#dcterms_Location	skos:relatedMatch	MIXS:0000010	geo_loc_name	MIxS core	HumanCurated	orcid:0000-0003-1144-0290	dwc:higherGeography	dwcversion:higherGeography-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-04-16	1	Both are string lists with some special characters that need not overlap. As noted [in this rubric](https://github.com/tdwg/gbwg/pull/78/files#r846255765), this qualifies the terms as relatedMatch.  DwC expects a list (of undefined length) of values separated by a vertical bar space  '|', while MIxS expects two words (country or sea name + specific region name). Additionally MIxS expects terms from an ontology where appropriate, for which the input would not only be a word but a termLabel[termID] combination
dwc:eventDate	Event Date	http://rs.tdwg.org/dwc/terms/Event	skos:exactMatch	MIXS:0000011	collection_date	MIxS core	HumanCurated	orcid:0000-0003-1144-0290	dwc:eventDate	dwcversion:eventDate-2020-08-12	MIXSversion:mixs_v5.xlsx	5	2021-04-16	1	DwC requests compliance with ISO 8601-1:2019, so does MIxS. Note, however, that this is only a recommendation in both cases. Thus, non ISO entries may be allowed. Stricter recommendations from both standards bodies would support this mapping.
dwc:materialSampleID	Material Sample ID	http://rs.tdwg.org/dwc/terms/MaterialSample	skos:exactMatch	MIXS:0000026	source_mat_id	MIxS core	HumanCurated	orcid:0000-0003-1144-0290	dwc:materialSampleID	dwcversion:materialSampleID-2020-10-28	MIXSversion:mixs_v5.xlsx	5	2021-04-16	1	Both expect PIDs of a sort (undefined and unrestricted as to what kind - a mix of letters, numbers, etc.). The mapping as exactMatch is further supported by the MIxS key referencing the DwC key.
